"row","col","well","plate_id","assay_stage","assay_mode","target_id","sample_id","peptide_id","expected_activity","control_type","concentration_uM","technical_replicate","biological_replicate"
"A","01","A01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"B","01","B01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"C","01","C01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,1,1
"D","01","D01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,1,1
"E","01","E01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,1,1
"F","01","F01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,1,1
"G","01","G01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,1,1
"H","01","H01","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,1,1
"A","02","A02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"B","02","B02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"C","02","C02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,2,1
"D","02","D02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,2,1
"E","02","E02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,2,1
"F","02","F02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,2,1
"G","02","G02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,2,1
"H","02","H02","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,2,1
"A","03","A03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"B","03","B03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"C","03","C03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,3,1
"D","03","D03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,3,1
"E","03","E03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,3,1
"F","03","F03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,3,1
"G","03","G03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,3,1
"H","03","H03","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,3,1
"A","04","A04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"B","04","B04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"C","04","C04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_10uM","PEP-001","agonist","test_sample",10,1,1
"D","04","D04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_10uM","PEP-002","antagonist","test_sample",10,1,1
"E","04","E04","PRIMARY_AGO_B1","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_10uM","PEP-003","artifact","test_sample",10,1,1
