"plate_id","well","row","col","assay_stage","assay_mode","target_id","sample_id","peptide_id","expected_activity","control_type","concentration_uM","technical_replicate","biological_replicate","raw_od"
"PRIMARY_AGO_B1","A01","A","01","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1,0.1265
"PRIMARY_AGO_B1","B01","B","01","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1,0.0832
"PRIMARY_AGO_B1","C01","C","01","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,1,1,1.0994
"PRIMARY_AGO_B1","D01","D","01","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,1,1,0.2626
"PRIMARY_AGO_B1","E01","E","01","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,1,1,0.8399
"PRIMARY_AGO_B1","F01","F","01","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,1,1,0.2237
"PRIMARY_AGO_B1","G01","G","01","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,1,1,0.5531
"PRIMARY_AGO_B1","H01","H","01","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,1,1,0.3639
"PRIMARY_AGO_B1","A02","A","02","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1,0.1192
"PRIMARY_AGO_B1","B02","B","02","primary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1,0.0742
"PRIMARY_AGO_B1","C02","C","02","primary","agonist","TARGET_TLR8_DEMO","PEP-001_primary_1uM","PEP-001","agonist","test_sample",1,2,1,1.0957
"PRIMARY_AGO_B1","D02","D","02","primary","agonist","TARGET_TLR8_DEMO","PEP-002_primary_1uM","PEP-002","antagonist","test_sample",1,2,1,0.2674
"PRIMARY_AGO_B1","E02","E","02","primary","agonist","TARGET_TLR8_DEMO","PEP-003_primary_1uM","PEP-003","artifact","test_sample",1,2,1,0.8033
"PRIMARY_AGO_B1","F02","F","02","primary","agonist","TARGET_TLR8_DEMO","PEP-004_primary_1uM","PEP-004","unknown","test_sample",1,2,1,0.2067
"PRIMARY_AGO_B1","G02","G","02","primary","agonist","TARGET_TLR8_DEMO","PEP-005_primary_1uM","PEP-005","unknown","test_sample",1,2,1,0.5184
"PRIMARY_AGO_B1","H02","H","02","primary","agonist","TARGET_TLR8_DEMO","PEP-006_primary_1uM","PEP-006","unknown","test_sample",1,2,1,0.3576
"PRIMARY_AGO_B1","A03","A","03","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1,0.1966
"PRIMARY_AGO_B1","B03","B","03","primary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1,0.1481
